,company,role,location,link
11,AbroadWorks Inc.,Senior Technical Lead,Remote in India,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DMCgnC-sc5A_coEC9gamUnVJh4vaY5MHcBhLbUvmG62zYsKAijsAg_J_uSp3QQz8wIWNKQf6HLFgTIYzxhPF3IxqjdsqWndQvGgHeRXUWNfY-1PLujuGvurGALDSiHK8Yejl5qwxciHPOLsu35rh5He8lccY0_nOpPHEfcXZu_TNBckbFdgSCvF0Ssg6iaa63zMZtmvnNvs3IPNgYdmv9d89QyVZ7YNYQCzmKGJARYIGAiGS0OuN0g4AtAopZfqBSdHpjtibEgoGd0udGfSOoJ8NAgY7LHisNCXdiRMabmU-YXWp-r3EEey0u-5QXqoRbnvPw2crJcGs3iOn8Enh1dzkeiBeb5446tYeemWhcqRM9WSCVXA90fSQHFLtEVR6EBQ-J26Ikno6qHZBqZenEYnLm9tyxqPgvbZ44PMxdJJhIU07uScKzwrZDWwVDvUJzwLgutI98VWPEgTm1fQxoRC0-U_gDE6Q0Zd_t-p8Ec8VhqZOywxB0GdFotuAKDPexzM3nw_ADUdWi8UdS7117GGPVrLi65agZfN86RHuC4VZf1bR4cWtQanMkqeKsMe_8mowDt4CmUIu2UGdsATfpofhoa612r4sVgHqSr_IL469iHH2mWX3JCMJwuMYvbi4Qynar_2JkH6U-nYn4NupsQAWoUknwI7a0itgO-OMys7aCWEHNFA3Fg8TYeu5Y4rpSO0AGz4uLZb2dYVzZ-RO3cki8ZyhzfkWJYRxPAUICpBg==&xkcb=SoB36_M38KK_p0x2Gp0BbzkdCdPP&camk=nUmJqO2E8rgwLsndL81YOg==&p=10&fvj=1&vjs=3
12,Notmuch,Senior Software Developer,"Remote in Connaught Place, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=2edaafa424774d61&bb=fEw70oByBeZvkS0ouiQVCLxs08KunYqLuaPzlMsvo3y-r68txwYrnot-9A13mlsTsPmkHKB7t_WvbHR_A3Wa3Qx0L8oyKN7dO3aTCMhyx0AFcaX7TanzzElLb7L-JMUw&xkcb=SoA367M38KK_p0x2Gp0AbzkdCdPP&fccid=50e7f845579d5012&cmp=notmuch&ti=Senior+Software+Engineer&vjs=3
13,Surepass Technologies,Junior Python Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=f6eb3655027e850c&bb=fEw70oByBeZvkS0ouiQVCFg1Yza4y43mVHld82qJYvnjEPj3rnkFQsTvjr4xp0s_gGn-_JFDKTfu-2M1bEBubC1ADMwjWe3c_vLDgIG11KpJne-wFFEEko5t2pj2Rwyb&xkcb=SoC567M38KK_p0x2Gp0HbzkdCdPP&fccid=f40aa5e2d23f457d&cmp=Surepass-Technologies&ti=Junior+Python+Developer&vjs=3
14,Parahit Technologies,Python Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=54cc0b0855c81cfa&bb=fEw70oByBeZvkS0ouiQVCK-nYFkHGdEOK_-Z9ioj5pfnFya1E-2e2OXwTp0TYjxiFVxA7163oCapjbStBmpM0el-Cinyw7UaTaUzSgyeoGpy0FrSyGYe2D_Ic6T6In4q&xkcb=SoAN67M38KK_p0x2Gp0GbzkdCdPP&fccid=c45d3fb18b575bf4&vjs=3
15,TIMBLE TECHNOLOGIES PVT LTD,Django Developer,"Safdarjung Enclave, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=9702a44f84471ca9&bb=fEw70oByBeZvkS0ouiQVCEW1Nv71RdtSn176PEgDof_HshPRpXZVR5d5m_JdbCBiqz24TfUqjPb_tMGC7Uu_IMO7hv9qVQ9rKcyh5ke_bf9E-8w4Z-Kza-aQSXcKsjU-&xkcb=SoCQ67M38KK_p0x2Gp0FbzkdCdPP&fccid=e860eb8ae861f3d1&cmp=TIMBLE-TECHNOLOGIES-PVT-LTD&ti=Developer&vjs=3
16,IOTFY Solutions Private Limited,Full Stack Developer,"Dwarka, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=9cc79c8749c871ba&bb=d4AQ6oVVT2htvFbd2l1aY9vPT9WUcXsacWwmbR_cA_2_CQf81cirtqQo5-5E5BWc46SLCJmk2a-sGh3HgM5N8MNh94JjS3stD_kTrCShcbM_BMDHd7tPbVbLdZ2y4i4H&xkcb=SoBZ67M38KK-A4W2th0LbzkdCdPP&fccid=88fb88fd4704e185&cmp=IOTFY-Solutions-Private-Limited&ti=Full+Stack+Developer&vjs=3
17,Get Now Solutions Private Limited Company,Full Stack Developer,"Vasant Kunj, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=e681eb222764f4c5&bb=d4AQ6oVVT2htvFbd2l1aY95W3o__x_RhhuqtlsnScuv2pxVEmIOBPQyQQYm6P85k0OYqwsO6eail--Dk8YMpEZKk6v-XsxDAoU3Tmrsf44ctdAxOh-eJg93EiBsTpnFA&xkcb=SoDt67M38KK-A4W2th0KbzkdCdPP&fccid=889d7b80bef81e64&cmp=Book2save-Pvt.-Ltd.&ti=Full+Stack+Developer&vjs=3
18,Loopmethods,Python Django Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=ddf11abc862a0781&bb=d4AQ6oVVT2htvFbd2l1aY5dG5aT5F02W-6-S40DjmJ4wOYZ9sKs_XQ6uNuQQyGZZfjka7jHb32mTPUnVDmzrnKOTcvU-NUrLvzXFKABH0MiTodzBIH6rPGq4Wj-Pyi7z&xkcb=SoBw67M38KK-A4W2th0JbzkdCdPP&fccid=91ffd7983268bf8e&vjs=3
19,Sujata Computers,Software Developer L1,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=88793126c6395985&bb=d4AQ6oVVT2htvFbd2l1aYzZlEEcLu7Hn66soVYC-9FVMOgQ3ldwb3pBSuPp6R1hTdmASBel4gzVglT8MI38uDvR7NJrSbZReras44M7s5VVZA-_jX3Hc1Y6vHg1LW-kZ&xkcb=SoDE67M38KK-A4W2th0IbzkdCdPP&fccid=018a2869561b31f0&vjs=3
20,InSphere Solutions,Senior Python Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=fd9f0cca0757b931&bb=d4AQ6oVVT2htvFbd2l1aY6vtz1bC-j5Q1gfBxLrB_vnWegDJFtPRu9Clu0SxFfXBbmNLoFesbYknsdRMOjtClF0pUlMebrv82vwzzgRUiOdsDCGjX8UWgnwDLWbj6Eax&xkcb=SoBK67M38KK-A4W2th0PbzkdCdPP&fccid=433a61541426974a&vjs=3
21,Digital Daisy,Python Web Crawler Developer,Delhi,https://in.indeed.com/rc/clk?jk=846d7e4374fb4fc8&bb=d4AQ6oVVT2htvFbd2l1aY-yajAdd1cYnz9oi6m7OUgrkldBb9RVOALlUr6mjma-Td5l2B3eJklyBroi0gX5ao1k1QzZ53qVY3AYKuaVdVoBz1eRwi-o_fPj_yUl0H6TL&xkcb=SoD-67M38KK-A4W2th0ObzkdCdPP&fccid=2d87b6672e1f6a3b&vjs=3
22,Intellemind Technologies Pvt Ltd,Front End Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=2b7eef4668a50563&bb=d4AQ6oVVT2htvFbd2l1aY7YiY88zVSz0iy_Xzx0OLQZual7C8ZD1BoChbK-BbVoxPtPNxKFRnAvnQmpS-jyb1XvoiSE-yLT_CUnCOhCk96cJGKXqvx4mLFxlzNU6xNLo&xkcb=SoBj67M38KK-A4W2th0NbzkdCdPP&fccid=9569f9f59037441a&cmp=intellemind-technologies&ti=Front+End+Developer&vjs=3
23,AKPS TECHNOLOGY PVT LTD,Backend Developer - Python (AI/ML & Database),"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=5d874ce3f1bc5af5&bb=d4AQ6oVVT2htvFbd2l1aY6cnaCaSdc42RF1iM_u5OU6OqXjH69rMShOmsqU631kHeXNTUv7mz1riwHhMMjtXByu5FJ-A6LrW8eaB6SVAAu09W_OrVPKGpcfPuSa9cacR&xkcb=SoDX67M38KK-A4W2th0MbzkdCdPP&fccid=0bcc371d6e2fc2cd&cmp=AKPS-TECHNOLOGY-PVT-LTD&ti=Back+End+Developer&vjs=3
24,Ajath Infotech Pvt.Ltd,AI/ML Engineer,"Karol Bagh, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=15e902fc28dc5354&bb=d4AQ6oVVT2htvFbd2l1aY9RINlcP66Gr0Kpob5IYTHFEPPT4XJTG1Zyb-mFTM7f8Rt-y9k2BvJDyMJYX8QoorWMhTUKdrIRsryPSbHY6n8G_97IbyQnExLURIqIHCkSS&xkcb=SoA-67M38KK-A4W2th0DbzkdCdPP&fccid=e5852e0f68395a7c&cmp=Ajath-Infotech-Pvt.Ltd&ti=Ai%2Fml+Engineer&vjs=3
25,TheSqua.re,Senior/Lead Python developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=93f39cc892ba6957&bb=d4AQ6oVVT2htvFbd2l1aY7ngxYdqop5dSgmWDm36dZd4-oeEG5O-KDQKnf6Qfe6qwtktXcQXjpoFF2Oo2CXJ22AAcgOui-9lmcD5UttCdrLwBqXjNWtEZ-NZlphq47J2&xkcb=SoCK67M38KK-A4W2th0CbzkdCdPP&fccid=9fcce84d730e6aa1&cmp=TheSqua.re&ti=Python+Developer&vjs=3
26,Kito Infocom Pvt.Ltd,Software Developer,"Okhla, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=b241fd50120bdb52&bb=d4AQ6oVVT2htvFbd2l1aY0VSdbpuzlL9WQGC2dNWL6nySA0BpP5V-_-gU4HVkhvHAl2WIvceU7z76ycZ1qv2U-gjd5WiinP6BqBAPS532jPY6Sb3T6bIi8VocuusFnxQ&xkcb=SoAX67M38KK-A4W2th0BbzkdCdPP&fccid=07fee816aa901c21&cmp=Kito-Infocom-Pvt.Ltd&ti=Software+Engineer&vjs=3
27,Smartmovess consultant zone,AI Developer,"Mehrauli, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=7c13131279bad3cc&bb=d4AQ6oVVT2htvFbd2l1aY39go8lkDukUce4vbp1xENJA8hlmDaGw2zY2-8Q_1N5Dq4vllhs4bqWcdzBbWbEhCbJz-piXVsbcAVvSVDtkzKXkZps4UjgZfE1JeuQyXhOB&xkcb=SoCj67M38KK-A4W2th0AbzkdCdPP&fccid=22ccc2e0dc05dbea&cmp=Smartmovess-consultant-zone&ti=Developer&vjs=3
28,Mindkosh Technologies,Backend Developer Intern,Delhi,https://in.indeed.com/rc/clk?jk=039294d5a839b2d1&bb=d4AQ6oVVT2htvFbd2l1aY08q2VjeyXO-R-4FdOjznJduQUgk6GIWQG8IxYoJEMv2ajiN5vB_iyIQl38tzZV5MDwfbs2rx0OSug0W1b8ycwOO70qIwlXO5qCp6s3ZNgaZ&xkcb=SoAt67M38KK-A4W2th0HbzkdCdPP&fccid=90b862b34368b371&vjs=3
